,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing,fileDate
18786,AMBC,2023-03-08T00:00:00.000Z,Smith R Sharon,D,F,301.0,16.41,73607.0,2023-03-09T21:12:14.000Z
18787,ONL,2023-03-07T00:00:00.000Z,MCDOWELL PAUL H,A,A,84768.0,0.0,135474.0,2023-03-09T21:12:12.000Z
18788,ONL,2023-03-07T00:00:00.000Z,Brandon Gavin,A,A,36424.0,0.0,55723.0,2023-03-09T21:11:54.000Z
18789,ONL,2023-03-07T00:00:00.000Z,Hughes Paul C,A,A,19868.0,0.0,30581.0,2023-03-09T21:11:35.000Z
18790,H,2023-03-07T00:00:00.000Z,Floyd H. Charles,D,F,20226.0,121.37,64309.0,2023-03-09T21:11:11.000Z
18791,H,2022-12-31T00:00:00.000Z,Floyd H. Charles,A,M,15420.0,,48555.0,2023-03-09T21:11:11.000Z
18792,H,2023-03-07T00:00:00.000Z,Floyd H. Charles,A,A,35980.0,,84535.0,2023-03-09T21:11:11.000Z
18793,AMBC,2023-03-08T00:00:00.000Z,Trick David,A,M,348.0,0.0,152730.0,2023-03-09T21:11:09.000Z
18794,AMBC,2023-03-08T00:00:00.000Z,Trick David,D,F,348.0,16.41,152382.0,2023-03-09T21:11:09.000Z
18795,CMCSA,2023-03-07T00:00:00.000Z,BREEN EDWARD D,D,G,81975.0,0.0,31525.934,2023-03-09T21:11:06.000Z
18796,SGFY,2023-03-07T00:00:00.000Z,Armbrester Bradford Kyle,D,F,6369.0,28.37,381566.0,2023-03-09T21:11:02.000Z
18797,SGFY,2023-03-07T00:00:00.000Z,Rothman Marc D,D,F,2736.0,28.37,68236.0,2023-03-09T21:10:44.000Z
18798,AN,2023-03-07T00:00:00.000Z,EDMUNDS C COLEMAN,D,S,5000.0,139.6,18039.0,2023-03-09T21:10:26.000Z
18799,AN,2023-03-07T00:00:00.000Z,EDMUNDS C COLEMAN,D,S,4445.0,140.6804,13594.0,2023-03-09T21:10:26.000Z
18800,SGFY,2023-03-07T00:00:00.000Z,Builder Josh,D,F,4438.0,28.37,126444.0,2023-03-09T21:10:24.000Z
18801,BJRI,2023-03-08T00:00:00.000Z,Krakower Brian S,D,S,950.0,31.08,6129.0,2023-03-09T21:10:21.000Z
18802,STIM,2023-03-07T00:00:00.000Z,MACAN WILLIAM ANDREW,D,S,12692.0,4.59,387847.0,2023-03-09T21:09:08.000Z
18803,STIM,2023-03-07T00:00:00.000Z,Furlong Stephen,D,S,11079.0,4.59,431055.0,2023-03-09T21:08:48.000Z
18804,OMCL,2023-03-07T00:00:00.000Z,Bauer Joanne B,D,S,3318.0,55.0377,28096.0,2023-03-09T21:08:39.000Z
18805,OMCL,2023-03-07T00:00:00.000Z,Bauer Joanne B,D,S,9797.0,53.9673,31414.0,2023-03-09T21:08:39.000Z
18806,OMCL,2023-03-07T00:00:00.000Z,Bauer Joanne B,A,M,19329.0,25.53,41211.0,2023-03-09T21:08:39.000Z
18807,H,2023-03-07T00:00:00.000Z,Bottarini Joan,D,S,2500.0,122.38,15078.935,2023-03-09T21:07:32.000Z
18808,SGFY,2023-03-07T00:00:00.000Z,Pierre David,D,F,6564.0,28.37,199181.0,2023-03-09T21:07:13.000Z
18809,ULCC,2023-03-08T00:00:00.000Z,Biffle Barry,D,S,1538.0,11.8009,293672.0,2023-03-09T21:06:55.000Z
18810,ULCC,2023-03-07T00:00:00.000Z,Biffle Barry,D,S,4790.0,11.8001,295210.0,2023-03-09T21:06:55.000Z
18811,SGFY,2023-03-07T00:00:00.000Z,McAnaney Adam,D,F,3750.0,28.37,130026.0,2023-03-09T21:06:51.000Z
18812,BLUE,2022-10-17T00:00:00.000Z,Leiderman Elisabeth,D,S,1004.0,6.4643,11466.0,2023-03-09T21:06:33.000Z
18813,SGFY,2023-03-07T00:00:00.000Z,Gronniger Tim,D,F,3821.0,28.37,323584.0,2023-03-09T21:06:31.000Z
18814,SGFY,2023-03-07T00:00:00.000Z,ORTON LAURENCE MICHAEL,D,F,1160.0,28.37,32734.0,2023-03-09T21:06:28.000Z
18815,RC,2023-03-07T00:00:00.000Z,NATHAN GILBERT E,A,P,5000.0,10.9546,56565.0,2023-03-09T21:05:47.000Z
18816,RC,2023-03-08T00:00:00.000Z,NATHAN GILBERT E,A,P,3841.0,11.05,60406.0,2023-03-09T21:05:47.000Z
18817,XAIR,2023-03-07T00:00:00.000Z,Gaul Michael A.,A,P,8000.0,5.86,72150.0,2023-03-09T21:05:38.000Z
18818,XAIR,2023-03-08T00:00:00.000Z,Lisi Steven A.,A,P,5000.0,5.887,1447849.0,2023-03-09T21:05:34.000Z
